"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"C3";"C_Radial_D18_L25_P7.5_BAT";1;"50F";;;
2;"D2";"Straight_1x02";1;"HLMP-EG30-QT000";;;
3;"U1";"DFN-12-1EP_3x4mm_Pitch0.5mm";1;"LTC3625";;;
4;"C2";"TantalC_SizeC_Reflow";1;"100uF/6.3V";;;
5;"L1";"DER0705";1;"DER0705-3.3uH";;;
6;"P1";"uUSB-B";1;"MX-105017-0001";;;
7;"C1";"SMD-0805";1;"10uF/10V";;;
8;"D1";"SMA_Standard";1;"M4";;;
9;"J1";"Straight_2x03";1;"JUMP_3X2";;;
10;"R1";"SMD-0805";1;"0";;;
11;"R4";"SMD-0805";1;"133k";;;
12;"D3";"LED_1206";1;"RED";;;
13;"R6";"SMD-0805";1;"270";;;
14;"R5";"SMD-1206";1;"68";;;
15;"G***";"UST_logo";1;"LOGO";;;
